Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/04  17:00:00,306146608.2854356,306146608.2854356,20386163.423207135 
 01/04  18:00:00,234711830.08879177,234711830.08879177,11045147.02583845 
 01/04  19:00:00,131031743.14607933,131031743.14607927,10976589.222325977 
 01/04  20:00:00,111570869.92694804,111570869.926948,9381648.449449512 
 01/04  21:00:00,100912160.59971816,100912160.59971816,12173914.281354404 
 01/04  22:00:00,96269263.15284068,96269263.15284068,15497336.594258896 
 01/04  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 01/04  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 01/05  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 01/05  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/05  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/05  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/05  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/05  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/05  07:00:00,90201342.83820389,90201342.8382039,69076234.53091489 
 01/05  08:00:00,157876814.6905334,157876814.69053338,51523940.53760992 
 01/05  09:00:00,297717563.3483237,297717563.3483237,12726437.701194432 
 01/05  10:00:00,270991050.0332924,270991050.0332924,6791184.0 
 01/05  11:00:00,277446407.54384616,277446407.54384616,6791184.0 
 01/05  12:00:00,294343444.36523786,294343444.36523786,15947953.466397997 
 01/05  13:00:00,297921166.9471686,297921166.9471686,25840592.208867998 
 01/05  14:00:00,303877589.02982029,303877589.0298202,25620958.350029269 
 01/05  15:00:00,286909412.48552408,286909412.48552408,15515536.1331169 
 01/05  16:00:00,280872899.0932533,280872899.09325328,15483033.470145975 
 01/05  17:00:00,289057541.78434219,289057541.7843421,20387261.52856378 
 01/05  18:00:00,227350771.43573243,227350771.43573243,11037115.084068967 
 01/05  19:00:00,128969500.35159292,128969500.3515929,10976120.28958008 
 01/05  20:00:00,111570869.92694804,111570869.926948,11717013.739264947 
 01/05  21:00:00,100912160.59971816,100912160.59971816,24584312.16649389 
 01/05  22:00:00,96269263.15284068,96269263.15284068,17687705.79635339 
 01/05  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 01/05  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 01/06  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 01/06  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/06  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/06  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/06  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/06  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/06  07:00:00,89031873.46655844,89031873.46655846,36502318.7329746 
 01/06  08:00:00,153524758.76961053,153524758.7696105,30183589.163552129 
 01/06  09:00:00,298434387.93522796,298434387.93522796,12252899.216426349 
 01/06  10:00:00,275850355.2464192,275850355.24641916,6791184.0 
 01/06  11:00:00,285567248.7970781,285567248.797078,6791184.0 
 01/06  12:00:00,302777569.39434757,302777569.3943475,15948574.021569062 
 01/06  13:00:00,305210494.9401276,305210494.9401276,25842245.342319378 
 01/06  14:00:00,315492547.8929341,315492547.8929341,25622474.953630777 
 01/06  15:00:00,300173006.7838918,300173006.7838918,15516044.492671866 
 01/06  16:00:00,295104532.6602999,295104532.6602999,15483196.284969639 
 01/06  17:00:00,304317622.24276486,304317622.2427648,20387582.940831625 
 01/06  18:00:00,231229635.2437185,231229635.24371854,14452550.222945175 
 01/06  19:00:00,129218414.58149392,129218414.58149389,22025520.623484456 
 01/06  20:00:00,111634674.52239494,111634674.5223949,22351527.254816425 
 01/06  21:00:00,100912160.59971816,100912160.59971816,29515094.47837407 
 01/06  22:00:00,96269263.15284068,96269263.15284068,25075297.643280936 
 01/06  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 01/06  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 01/07  01:00:00,46745513.81922844,46745513.81922843,6791184.0 
 01/07  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/07  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/07  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/07  05:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/07  06:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/07  07:00:00,89103054.3395365,89103054.33953654,57883333.17901482 
 01/07  08:00:00,102187846.46803165,102187846.46803165,50731755.45116907 
 01/07  09:00:00,123434958.95211439,123434958.95211436,10313735.283549849 
 01/07  10:00:00,142907762.51286195,142907762.51286195,6791184.0 
 01/07  11:00:00,152485684.73935835,152485684.73935835,6791184.0 
 01/07  12:00:00,168710523.00585933,168710523.00585933,6791184.0 
